 Value of m    Value of n  Wavelength in Å
        26        18     567346.812
        26        19     706387.438
        26        20     893299.750
        26        21    1156690.000
        26        22    1553783.500
        26        23    2218117.750
        26        24    3550330.500
        26        25    7553641.000
        27         1        913.052
        27         2       3667.323
        27         3       8308.777
        27         4      14916.178
        27         5      23604.480
        27         6      34529.984
        27         7      47897.656
        27         8      63971.340
        27         9      83087.773
        27        10     105676.031
        27        11     132284.484
        27        12     163619.000
        27        13     200597.625
        27        14     244430.844
        27        15     296742.062
        27        16     359754.281
        27        17     436588.438
        27        18     531761.750
        27        19     652058.438
        27        20     808148.625
        27        21    1017825.188
        27        22    1313126.125
        27        23    1758137.125
        27        24    2502408.250
        27        25    3994605.250
        27        26    8478087.000
        28         1        912.965
        28         2       3665.904
        28         3       8301.498
        28         4      14892.733
        28         5      23545.824
        28         6      34404.602
        28         7      47656.746
        28         8      63542.328
        28         9      82365.500
        28        10     104510.414
        28        11     130463.039
        28        12     160841.516
        28        13     196438.766
        28        14     238283.734
        28        15     287730.781
        28        16     346594.500
        28        17     417357.562
        28        18     503503.875
        28        19     610073.938
        28        20     744636.688
        28        21     919094.312
        28        22    1153293.375
        28        23    1482965.625
        28        24    1979587.750
        28        25    2809949.750
        28        26    4474438.000
        28        27    9475025.000
        29         1        912.885
        29         2       3664.630
        29         3       8294.969
        29         4      14871.734
        29         5      23493.377
        29         6      34292.742
        29         7      47442.383
        29         8      63161.805
        29         9      81727.273
        29        10     103484.992
        29        11     128869.000
        29        12     158425.562
        29        13     192847.047
        29        14     233019.328
        29        15     280089.844
        29        16     335567.312
        29        17     401471.156
        29        18     480562.688
        29        19     576715.438
        29        20     695531.812
        29        21     845423.188
        29        22    1039615.500
        29        23    1300159.500
        29        24    1666756.500
        29        25    2218819.000
        29        26    3141653.500
        29        27    4991201.000
        29        28   10547192.000
        30         1        912.814
        30         2       3663.482
        30         3       8289.091
        30         4      14852.851
        30         5      23446.287
        30         6      34192.500
        30         7      47250.738
        30         8      62822.582
        30         9      81160.219
